customer_id,full_name,date_of_birth,country_of_residence,nationality,occupation,risk_rating,pep_flag,account_open_date,kyc_status,segment
CUST0023,Customer_0023,1972-05-07,Japan,Japan,Business Owner,Medium,No,2022-07-06 23:34:00,Verified,Retail
CUST0024,Customer_0024,1993-03-02,Japan,Japan,Real Estate Agent,Low,No,2019-09-18 05:04:00,Verified,Corporate
CUST0025,Customer_0025,1996-04-19,UK,UK,Banker,Low,No,2019-06-27 19:05:00,Verified,Retail
CUST0026,Customer_0026,1980-04-09,Canada,Canada,Government Official,Low,No,2019-12-31 21:41:00,Verified,Retail
CUST0027,Customer_0027,1999-10-04,Cayman Islands,Cayman Islands,Software Engineer,Medium,Yes,2022-04-12 06:32:00,Verified,Private Banking
CUST0028,Customer_0028,1970-08-27,Bahamas,Bahamas,Real Estate Agent,High,No,2020-12-16 19:51:00,Verified,Retail
CUST0029,Customer_0029,1966-03-09,USA,USA,Software Engineer,Medium,No,2019-11-12 23:35:00,Verified,Retail
CUST0030,Customer_0030,2000-05-17,Australia,Australia,Trader,Low,No,2020-09-02 01:05:00,Verified,Corporate
CUST0031,Customer_0031,2000-05-06,Australia,Australia,Trader,Low,No,2022-05-10 22:27:00,Verified,Retail
CUST0032,Customer_0032,1983-10-18,British Virgin Islands,British Virgin Islands,Doctor,High,No,2021-09-03 04:02:00,Verified,Private Banking
CUST0033,Customer_0033,1973-11-08,Panama,Panama,Software Engineer,Medium,No,2021-03-31 17:56:00,Pending,Private Banking
CUST0034,Customer_0034,1971-07-01,Bahamas,Bahamas,Doctor,Medium,No,2021-02-15 13:51:00,Verified,Corporate
CUST0035,Customer_0035,1966-07-28,Germany,Germany,Business Owner,Low,No,2021-11-25 07:12:00,Pending,Retail
CUST0036,Customer_0036,1972-07-11,France,France,Retired,Low,No,2019-08-27 08:22:00,Verified,Retail
CUST0037,Customer_0037,1961-02-09,Nigeria,Nigeria,Doctor,High,No,2022-07-09 08:02:00,Verified,Retail
CUST0038,Customer_0038,1992-02-13,UK,UK,Banker,Medium,No,2020-04-30 08:02:00,Verified,Retail
CUST0039,Customer_0039,1972-06-14,Nigeria,Nigeria,Software Engineer,High,No,2022-12-27 10:39:00,Verified,Corporate
CUST0040,Customer_0040,1986-06-13,USA,USA,Retired,Medium,No,2022-05-16 04:12:00,Verified,Private Banking
CUST0041,Customer_0041,1979-07-18,British Virgin Islands,British Virgin Islands,Business Owner,Medium,No,2020-12-19 09:13:00,Verified,Retail
CUST0042,Customer_0042,1973-09-16,France,France,Doctor,Medium,No,2022-12-16 02:18:00,Verified,Corporate
CUST0043,Customer_0043,1974-04-05,France,France,Business Owner,Low,No,2019-07-10 07:30:00,Verified,Corporate
CUST0044,Customer_0044,1984-08-13,France,France,Lawyer,Low,No,2020-02-03 20:44:00,Verified,Corporate
CUST0045,Customer_0045,1974-03-26,Cayman Islands,Cayman Islands,Real Estate Agent,Medium,No,2021-11-13 01:35:00,Verified,Corporate
CUST0046,Customer_0046,1995-10-11,Japan,Japan,Trader,Low,No,2022-09-12 23:57:00,Verified,Corporate
CUST0047,Customer_0047,1990-08-09,Germany,Germany,Lawyer,Low,No,2022-11-02 08:49:00,Pending,Retail
CUST0048,Customer_0048,1978-04-09,Japan,Japan,Student,Low,Yes,2021-01-20 17:05:00,Verified,Retail
CUST0049,Customer_0049,1986-07-11,Japan,Japan,Real Estate Agent,Medium,No,2021-11-16 13:03:00,Verified,Retail
CUST0050,Customer_0050,1961-10-13,Russia,Russia,Trader,High,No,2019-04-19 11:19:00,Pending,Private Banking
CUST0051,Customer_0051,1994-10-08,Seychelles,Seychelles,Trader,High,No,2020-06-29 08:27:00,Verified,Retail
CUST0052,Customer_0052,1989-03-20,Germany,Germany,Real Estate Agent,Medium,No,2019-06-01 12:37:00,Verified,Retail
CUST0053,Customer_0053,1971-01-09,British Virgin Islands,British Virgin Islands,Government Official,Medium,No,2021-02-05 06:29:00,Verified,Corporate
CUST0054,Customer_0054,1965-08-01,Singapore,Singapore,Real Estate Agent,Low,No,2019-07-22 11:14:00,Verified,Corporate
CUST0055,Customer_0055,1972-01-20,Panama,Panama,Doctor,Medium,No,2020-08-07 04:30:00,Verified,Retail
CUST0056,Customer_0056,1970-10-20,Canada,Canada,Software Engineer,Low,No,2020-03-07 09:06:00,Verified,Private Banking
CUST0057,Customer_0057,1972-02-19,Germany,Germany,Lawyer,Medium,No,2019-11-01 22:49:00,Verified,Corporate
CUST0058,Customer_0058,1982-09-14,Australia,Australia,Student,Medium,No,2019-08-26 16:41:00,Verified,Corporate
CUST0059,Customer_0059,1983-11-27,Cayman Islands,Cayman Islands,Trader,Medium,No,2020-02-14 13:11:00,Verified,Private Banking
CUST0060,Customer_0060,1997-05-11,Japan,Japan,Lawyer,Low,No,2019-10-01 08:56:00,Verified,Corporate
CUST0061,Customer_0061,1961-08-28,Singapore,Singapore,Student,Medium,No,2020-04-13 15:13:00,Verified,Retail
CUST0062,Customer_0062,1993-04-03,Canada,Canada,Lawyer,Low,No,2021-07-17 15:35:00,Pending,Corporate
CUST0063,Customer_0063,1961-02-10,France,France,Lawyer,Medium,No,2021-07-13 22:15:00,Verified,Retail
CUST0064,Customer_0064,1995-06-12,Australia,Australia,Trader,Low,No,2020-10-12 09:16:00,Verified,Corporate
CUST0065,Customer_0065,1990-05-24,Germany,Germany,Banker,Low,No,2022-03-16 19:18:00,Expired,Corporate
CUST0066,Customer_0066,1960-12-18,Australia,Australia,Doctor,Low,No,2020-10-19 01:03:00,Verified,Corporate
CUST0067,Customer_0067,1960-10-10,Japan,Japan,Trader,Low,No,2021-12-12 14:21:00,Verified,Retail
CUST0068,Customer_0068,1964-07-16,UAE,UAE,Software Engineer,High,No,2022-07-01 20:43:00,Verified,Retail
CUST0069,Customer_0069,1975-02-18,USA,USA,Government Official,Medium,Yes,2022-08-30 19:50:00,Verified,Corporate
CUST0070,Customer_0070,1997-07-10,Japan,Japan,Banker,Low,No,2022-09-29 01:39:00,Expired,Retail
CUST0071,Customer_0071,1965-03-08,Singapore,Singapore,Doctor,Medium,No,2022-05-11 02:10:00,Verified,Retail
CUST0072,Customer_0072,1978-12-10,USA,USA,Trader,Medium,Yes,2019-08-30 21:14:00,Expired,Corporate
CUST0073,Customer_0073,1972-07-04,Singapore,Singapore,Real Estate Agent,Medium,No,2020-07-10 20:09:00,Expired,Corporate
CUST0074,Customer_0074,1998-12-27,Germany,Germany,Banker,Low,No,2020-11-18 14:07:00,Verified,Retail
CUST0075,Customer_0075,1991-08-03,Canada,Canada,Banker,Low,No,2019-06-27 13:47:00,Verified,Retail
CUST0076,Customer_0076,1977-10-02,USA,USA,Doctor,Low,No,2021-11-25 16:41:00,Verified,Retail
CUST0077,Customer_0077,1991-02-16,Seychelles,Seychelles,Student,High,No,2021-07-21 10:20:00,Verified,Private Banking
CUST0078,Customer_0078,1985-09-02,Japan,Japan,Trader,Low,No,2019-10-04 10:16:00,Verified,Private Banking
CUST0079,Customer_0079,1994-08-14,USA,USA,Business Owner,Low,No,2020-04-25 16:23:00,Verified,Retail
CUST0080,Customer_0080,1995-03-10,USA,USA,Trader,Low,No,2021-12-24 03:01:00,Expired,Corporate
CUST0081,Customer_0081,1960-09-14,Germany,Germany,Software Engineer,Low,No,2020-07-10 03:29:00,Expired,Corporate
CUST0082,Customer_0082,1977-07-27,Canada,Canada,Trader,Low,No,2021-11-29 07:29:00,Verified,Retail
CUST0083,Customer_0083,1968-02-09,Nigeria,Nigeria,Government Official,High,No,2021-03-03 16:17:00,Pending,Retail
CUST0084,Customer_0084,1988-09-16,Japan,Japan,Student,Low,No,2021-02-15 17:48:00,Verified,Retail
CUST0085,Customer_0085,1975-10-13,France,France,Lawyer,Low,No,2021-07-26 01:20:00,Verified,Corporate
CUST0086,Customer_0086,1969-08-02,Germany,Germany,Doctor,Medium,No,2022-01-29 18:21:00,Pending,Private Banking
CUST0087,Customer_0087,1969-07-28,Japan,Japan,Doctor,Low,Yes,2019-09-07 15:50:00,Expired,Retail
CUST0088,Customer_0088,1981-11-28,Singapore,Singapore,Real Estate Agent,Medium,Yes,2021-05-24 10:40:00,Verified,Corporate
CUST0089,Customer_0089,1975-11-22,Panama,Panama,Retired,High,No,2020-07-15 23:05:00,Verified,Retail
CUST0090,Customer_0090,1979-01-02,Cayman Islands,Cayman Islands,Student,Medium,No,2019-07-30 09:22:00,Verified,Retail
CUST0091,Customer_0091,1965-10-28,Germany,Germany,Government Official,Low,No,2022-09-27 21:15:00,Verified,Retail
CUST0092,Customer_0092,1960-08-10,Canada,Canada,Real Estate Agent,Low,No,2020-02-24 02:28:00,Expired,Private Banking
CUST0093,Customer_0093,1989-05-07,Singapore,Singapore,Government Official,Low,No,2021-12-21 03:15:00,Verified,Retail
CUST0094,Customer_0094,1985-05-01,Canada,Canada,Banker,Low,Yes,2019-07-16 19:47:00,Verified,Private Banking
CUST0095,Customer_0095,1982-04-21,France,France,Lawyer,Low,No,2022-09-29 08:43:00,Pending,Corporate
CUST0096,Customer_0096,2000-11-02,British Virgin Islands,British Virgin Islands,Retired,Medium,No,2021-09-25 01:37:00,Verified,Retail
CUST0097,Customer_0097,1971-04-05,Cyprus,Cyprus,Real Estate Agent,High,No,2021-04-25 16:32:00,Expired,Corporate
CUST0098,Customer_0098,1978-12-28,Japan,Japan,Student,Low,No,2019-11-28 14:04:00,Verified,Private Banking
CUST0099,Customer_0099,1995-06-03,Seychelles,Seychelles,Government Official,High,No,2019-05-05 08:34:00,Verified,Retail
CUST0100,Customer_0100,2000-06-04,USA,USA,Lawyer,Medium,No,2021-11-27 00:39:00,Pending,Retail
CUST0101,Customer_0101,2000-08-23,Bahamas,Bahamas,Retired,High,No,2022-11-26 13:07:00,Verified,Private Banking
CUST0102,Customer_0102,1975-09-05,Japan,Japan,Government Official,Low,No,2021-10-22 11:42:00,Expired,Corporate
CUST0103,Customer_0103,1966-08-20,Germany,Germany,Government Official,Low,No,2020-10-30 01:44:00,Verified,Retail
CUST0104,Customer_0104,1983-09-21,Cyprus,Cyprus,Student,High,Yes,2019-08-09 12:17:00,Verified,Retail
CUST0105,Customer_0105,1973-11-21,France,France,Banker,Medium,Yes,2019-05-20 01:50:00,Verified,Private Banking
CUST0106,Customer_0106,1995-04-19,Bahamas,Bahamas,Lawyer,Medium,Yes,2020-07-27 10:49:00,Verified,Private Banking
CUST0107,Customer_0107,1994-05-26,Germany,Germany,Doctor,Low,No,2019-11-18 21:55:00,Verified,Retail
CUST0108,Customer_0108,1961-03-09,Bahamas,Bahamas,Business Owner,Medium,No,2019-12-22 23:26:00,Verified,Corporate
CUST0109,Customer_0109,1966-08-17,Australia,Australia,Lawyer,Low,No,2022-09-17 01:46:00,Pending,Private Banking
CUST0110,Customer_0110,1961-01-16,Japan,Japan,Government Official,Low,No,2021-08-27 21:06:00,Verified,Private Banking
CUST0111,Customer_0111,1969-02-05,UK,UK,Retired,Low,No,2022-10-06 20:37:00,Verified,Retail
CUST0112,Customer_0112,1992-10-14,Nigeria,Nigeria,Software Engineer,High,No,2019-11-27 20:41:00,Pending,Retail
CUST0113,Customer_0113,1974-07-11,Seychelles,Seychelles,Trader,High,No,2021-07-01 13:46:00,Verified,Retail
CUST0114,Customer_0114,1990-02-03,UK,UK,Software Engineer,Medium,No,2019-10-14 13:06:00,Verified,Retail
CUST0115,Customer_0115,1995-09-11,USA,USA,Software Engineer,Low,No,2021-07-26 11:55:00,Verified,Corporate
CUST0116,Customer_0116,1998-05-12,Panama,Panama,Software Engineer,High,No,2022-07-03 16:13:00,Verified,Retail
CUST0117,Customer_0117,1983-02-25,UK,UK,Retired,Medium,No,2022-06-25 07:51:00,Verified,Retail
CUST0118,Customer_0118,1995-01-20,Australia,Australia,Retired,Medium,No,2019-06-05 05:17:00,Verified,Retail
CUST0119,Customer_0119,1969-10-22,USA,USA,Government Official,Low,No,2019-08-27 04:47:00,Verified,Retail
CUST0120,Customer_0120,1989-06-06,Bahamas,Bahamas,Student,Medium,No,2021-01-04 23:20:00,Pending,Retail
CUST0121,Customer_0121,1999-01-22,USA,USA,Software Engineer,Low,No,2020-10-15 14:42:00,Verified,Corporate
CUST0122,Customer_0122,1967-06-14,France,France,Software Engineer,Low,No,2020-11-07 21:43:00,Verified,Retail
CUST0123,Customer_0123,1998-01-01,France,France,Lawyer,Low,No,2020-12-14 06:49:00,Verified,Retail
CUST0124,Customer_0124,1987-03-05,USA,USA,Government Official,Low,No,2022-04-01 22:14:00,Verified,Corporate
CUST0125,Customer_0125,1962-07-01,Cayman Islands,Cayman Islands,Trader,Medium,No,2019-09-13 10:36:00,Verified,Retail
CUST0126,Customer_0126,1961-06-06,USA,USA,Banker,Medium,No,2021-11-04 22:58:00,Verified,Retail
CUST0127,Customer_0127,1993-02-13,Singapore,Singapore,Retired,Low,No,2021-03-02 07:21:00,Pending,Retail
CUST0128,Customer_0128,1982-06-24,Canada,Canada,Doctor,Medium,No,2020-08-02 03:09:00,Verified,Retail
CUST0129,Customer_0129,2000-08-15,UK,UK,Banker,Low,No,2022-07-06 14:43:00,Expired,Retail
CUST0130,Customer_0130,2000-06-05,Australia,Australia,Trader,Medium,No,2019-08-24 15:28:00,Verified,Corporate
CUST0131,Customer_0131,1979-08-15,UK,UK,Business Owner,Medium,No,2019-08-01 11:53:00,Verified,Corporate
CUST0132,Customer_0132,1992-07-15,Cayman Islands,Cayman Islands,Banker,High,No,2022-05-16 23:57:00,Verified,Private Banking
CUST0133,Customer_0133,1990-09-05,Bahamas,Bahamas,Business Owner,Medium,No,2021-10-15 03:51:00,Pending,Retail
CUST0134,Customer_0134,1962-04-23,Canada,Canada,Trader,Medium,No,2021-09-22 16:33:00,Verified,Retail
CUST0135,Customer_0135,1981-11-20,Seychelles,Seychelles,Business Owner,High,No,2022-10-20 20:21:00,Verified,Retail
CUST0136,Customer_0136,1998-03-11,USA,USA,Software Engineer,Medium,No,2022-07-13 21:09:00,Expired,Retail
CUST0137,Customer_0137,1998-12-03,Singapore,Singapore,Retired,Medium,No,2022-05-25 12:41:00,Pending,Corporate
CUST0138,Customer_0138,1993-02-21,Japan,Japan,Government Official,Medium,No,2022-02-11 11:01:00,Verified,Retail
CUST0139,Customer_0139,1968-03-03,Japan,Japan,Retired,Low,No,2019-10-31 16:49:00,Verified,Corporate
CUST0140,Customer_0140,1999-03-20,Australia,Australia,Government Official,Low,No,2020-02-16 05:11:00,Pending,Corporate
CUST0141,Customer_0141,1962-07-12,British Virgin Islands,British Virgin Islands,Lawyer,Medium,No,2021-10-02 19:18:00,Pending,Corporate
CUST0142,Customer_0142,1990-04-12,France,France,Banker,Low,No,2021-09-25 14:49:00,Verified,Retail
CUST0143,Customer_0143,1998-03-28,Germany,Germany,Retired,Low,No,2019-07-22 20:30:00,Pending,Retail
CUST0144,Customer_0144,1970-05-15,UK,UK,Real Estate Agent,Low,No,2020-02-02 13:05:00,Expired,Retail
CUST0145,Customer_0145,1986-01-13,Australia,Australia,Real Estate Agent,Low,No,2021-05-11 07:24:00,Expired,Retail
CUST0146,Customer_0146,1981-03-05,UK,UK,Business Owner,Low,No,2020-11-14 15:44:00,Pending,Corporate
CUST0147,Customer_0147,1961-05-07,USA,USA,Doctor,Low,No,2022-05-04 23:38:00,Verified,Retail
CUST0148,Customer_0148,1975-07-21,Canada,Canada,Banker,Low,No,2021-10-29 02:07:00,Pending,Retail
CUST0149,Customer_0149,1978-07-01,France,France,Banker,Low,No,2021-03-29 07:36:00,Verified,Corporate
CUST0150,Customer_0150,1993-09-17,Australia,Australia,Real Estate Agent,Low,Yes,2022-05-15 00:24:00,Pending,Retail
CUST0151,Customer_0151,1961-06-26,Australia,Australia,Software Engineer,Low,No,2021-03-13 07:46:00,Verified,Retail
CUST0152,Customer_0152,1982-09-11,UK,UK,Doctor,Medium,No,2021-11-13 22:30:00,Verified,Corporate
CUST0153,Customer_0153,1972-01-26,Japan,Japan,Lawyer,Low,Yes,2019-07-01 10:59:00,Verified,Retail
CUST0154,Customer_0154,1972-05-12,France,France,Business Owner,Medium,No,2022-12-09 10:17:00,Verified,Retail
CUST0155,Customer_0155,1984-06-06,UAE,UAE,Trader,High,No,2022-01-19 11:59:00,Pending,Retail
CUST0156,Customer_0156,1998-03-18,Singapore,Singapore,Retired,Low,Yes,2021-01-23 03:05:00,Verified,Retail
CUST0157,Customer_0157,1988-06-15,Singapore,Singapore,Business Owner,Low,No,2021-03-29 19:27:00,Verified,Private Banking
CUST0158,Customer_0158,1985-06-17,Cayman Islands,Cayman Islands,Doctor,High,No,2019-06-09 04:54:00,Verified,Corporate
CUST0159,Customer_0159,1983-06-13,UK,UK,Banker,Low,No,2019-06-12 19:09:00,Verified,Private Banking
CUST0160,Customer_0160,1993-06-13,UK,UK,Student,Low,No,2022-11-27 08:15:00,Expired,Retail
CUST0161,Customer_0161,1967-05-25,Singapore,Singapore,Retired,Low,No,2021-10-06 06:39:00,Verified,Private Banking
CUST0162,Customer_0162,1964-08-06,UK,UK,Trader,Low,No,2019-10-03 21:54:00,Expired,Corporate
CUST0163,Customer_0163,1979-03-23,Canada,Canada,Doctor,Medium,No,2021-04-16 16:14:00,Verified,Retail
CUST0164,Customer_0164,1995-10-12,Japan,Japan,Trader,Low,Yes,2022-05-10 04:39:00,Pending,Retail
CUST0165,Customer_0165,1986-10-03,Japan,Japan,Doctor,Low,No,2021-01-15 20:04:00,Verified,Corporate
CUST0166,Customer_0166,1968-07-17,Germany,Germany,Business Owner,Low,No,2019-12-17 16:09:00,Verified,Retail
CUST0167,Customer_0167,1993-05-28,Bahamas,Bahamas,Software Engineer,High,No,2020-09-01 06:40:00,Expired,Retail
CUST0168,Customer_0168,1992-11-06,Australia,Australia,Banker,Medium,No,2022-07-09 04:10:00,Verified,Corporate
CUST0169,Customer_0169,1961-02-02,Australia,Australia,Banker,Medium,Yes,2020-09-30 20:13:00,Pending,Retail
CUST0170,Customer_0170,1994-05-21,France,France,Retired,Medium,No,2021-12-21 07:51:00,Pending,Retail
CUST0171,Customer_0171,1986-08-15,USA,USA,Lawyer,Low,No,2021-03-03 19:09:00,Verified,Corporate
CUST0172,Customer_0172,1968-06-17,UK,UK,Real Estate Agent,Medium,No,2019-11-10 10:15:00,Verified,Retail
CUST0173,Customer_0173,1984-10-14,UK,UK,Lawyer,Low,Yes,2020-02-28 10:59:00,Verified,Retail
CUST0174,Customer_0174,1989-08-10,France,France,Trader,Medium,No,2019-05-24 02:25:00,Verified,Private Banking
CUST0175,Customer_0175,1978-08-20,Australia,Australia,Trader,Low,Yes,2020-11-12 17:00:00,Pending,Retail
CUST0176,Customer_0176,1983-01-13,Cyprus,Cyprus,Business Owner,High,No,2022-06-17 17:12:00,Verified,Retail
CUST0177,Customer_0177,1977-10-22,Japan,Japan,Banker,Low,No,2019-12-06 04:06:00,Verified,Corporate
CUST0178,Customer_0178,1972-10-17,Australia,Australia,Government Official,Low,No,2022-01-25 01:02:00,Verified,Corporate
CUST0179,Customer_0179,1998-09-05,Canada,Canada,Student,Medium,No,2022-09-13 10:10:00,Verified,Corporate
CUST0180,Customer_0180,1992-09-16,Australia,Australia,Banker,Medium,No,2020-12-10 15:52:00,Verified,Retail
CUST0181,Customer_0181,2000-01-20,Singapore,Singapore,Trader,Low,No,2020-10-01 20:50:00,Expired,Retail
CUST0182,Customer_0182,1970-09-21,USA,USA,Banker,Low,No,2021-05-24 04:52:00,Verified,Retail
CUST0183,Customer_0183,1988-06-14,Cayman Islands,Cayman Islands,Doctor,High,No,2021-07-30 22:13:00,Verified,Corporate
CUST0184,Customer_0184,1993-04-18,Panama,Panama,Student,High,No,2022-12-23 15:33:00,Verified,Private Banking
CUST0185,Customer_0185,1976-10-16,Australia,Australia,Lawyer,Low,No,2020-08-23 08:35:00,Verified,Private Banking
CUST0186,Customer_0186,1991-06-16,Malta,Malta,Student,High,No,2022-05-28 23:17:00,Verified,Retail
CUST0187,Customer_0187,1969-05-02,Singapore,Singapore,Retired,Low,No,2019-09-15 11:59:00,Verified,Retail
CUST0188,Customer_0188,1977-09-23,France,France,Retired,Low,No,2020-01-13 03:39:00,Verified,Retail
CUST0189,Customer_0189,1963-02-14,France,France,Student,Low,No,2021-11-29 03:43:00,Pending,Retail
CUST0190,Customer_0190,1990-08-21,British Virgin Islands,British Virgin Islands,Lawyer,Medium,No,2020-11-15 10:18:00,Verified,Private Banking
CUST0191,Customer_0191,1962-03-14,France,France,Doctor,Low,No,2019-06-20 12:50:00,Verified,Private Banking
CUST0192,Customer_0192,1960-05-19,Malta,Malta,Banker,High,No,2019-11-12 10:18:00,Verified,Corporate
CUST0193,Customer_0193,1989-05-07,Germany,Germany,Software Engineer,Low,No,2021-02-12 05:46:00,Verified,Retail
CUST0194,Customer_0194,1996-11-25,Australia,Australia,Lawyer,Low,No,2020-03-31 19:54:00,Verified,Retail
CUST0195,Customer_0195,1966-03-05,Australia,Australia,Trader,Low,Yes,2021-01-28 07:00:00,Verified,Retail
CUST0196,Customer_0196,1996-01-09,UK,UK,Student,Medium,No,2020-08-02 01:42:00,Verified,Retail
CUST0197,Customer_0197,2000-05-12,Canada,Canada,Banker,Low,No,2020-07-02 07:08:00,Verified,Retail
CUST0198,Customer_0198,1995-08-25,Cyprus,Cyprus,Real Estate Agent,High,No,2022-12-27 06:48:00,Verified,Corporate
CUST0199,Customer_0199,1993-12-12,Cayman Islands,Cayman Islands,Software Engineer,High,No,2022-06-05 03:03:00,Pending,Private Banking
CUST0200,Customer_0200,1993-08-04,Germany,Germany,Lawyer,Low,No,2022-07-14 15:05:00,Pending,Retail
CUST0201,Customer_0201,1989-10-02,Germany,Germany,Real Estate Agent,Low,No,2021-11-08 21:51:00,Verified,Retail
CUST0202,Customer_0202,1997-02-02,USA,USA,Government Official,Low,No,2021-03-12 22:04:00,Verified,Retail
CUST0203,Customer_0203,1986-03-25,UAE,UAE,Doctor,High,Yes,2022-11-10 23:41:00,Expired,Retail
CUST0204,Customer_0204,1984-07-03,UAE,UAE,Real Estate Agent,High,No,2020-01-04 20:55:00,Verified,Retail
CUST0205,Customer_0205,1974-01-25,Germany,Germany,Business Owner,Low,No,2020-12-08 14:43:00,Verified,Retail
CUST0206,Customer_0206,1982-03-09,France,France,Lawyer,Low,No,2019-11-24 01:51:00,Verified,Corporate
CUST0207,Customer_0207,1964-02-20,Panama,Panama,Business Owner,High,No,2021-10-07 19:43:00,Verified,Retail
CUST0208,Customer_0208,1994-04-25,Germany,Germany,Business Owner,Medium,No,2020-01-18 16:18:00,Verified,Private Banking
CUST0209,Customer_0209,1980-04-10,Australia,Australia,Doctor,Medium,No,2022-12-19 16:14:00,Verified,Retail
CUST0210,Customer_0210,1971-11-22,Australia,Australia,Government Official,Medium,No,2022-05-19 15:03:00,Expired,Private Banking
CUST0211,Customer_0211,1986-07-05,Canada,Canada,Retired,Medium,No,2021-05-16 05:48:00,Verified,Retail
CUST0212,Customer_0212,1963-09-14,Germany,Germany,Government Official,Low,No,2022-05-22 16:08:00,Verified,Retail
CUST0213,Customer_0213,1983-02-18,UK,UK,Lawyer,Low,No,2019-07-21 08:24:00,Verified,Corporate
CUST0214,Customer_0214,1997-12-22,Bahamas,Bahamas,Real Estate Agent,High,No,2020-06-24 15:13:00,Pending,Retail
CUST0215,Customer_0215,1972-12-04,Panama,Panama,Trader,High,No,2020-08-15 22:38:00,Verified,Retail
CUST0216,Customer_0216,1984-08-18,Australia,Australia,Student,Low,No,2020-12-28 08:23:00,Verified,Retail
CUST0217,Customer_0217,1980-04-12,Japan,Japan,Student,Low,No,2021-08-01 01:36:00,Pending,Corporate
CUST0218,Customer_0218,1972-06-08,Singapore,Singapore,Government Official,Low,No,2022-06-16 07:31:00,Verified,Private Banking
CUST0219,Customer_0219,1991-08-06,Japan,Japan,Student,Low,No,2020-03-18 04:46:00,Verified,Retail
CUST0220,Customer_0220,1964-11-02,Panama,Panama,Business Owner,High,No,2021-07-29 04:53:00,Verified,Retail
CUST0221,Customer_0221,1983-01-20,France,France,Banker,Low,No,2021-12-21 21:31:00,Verified,Retail
CUST0222,Customer_0222,1977-09-10,USA,USA,Business Owner,Low,No,2022-01-29 22:43:00,Verified,Private Banking
CUST0223,Customer_0223,1975-04-20,UK,UK,Real Estate Agent,Low,No,2020-09-04 11:17:00,Pending,Retail
CUST0224,Customer_0224,1974-05-22,UAE,UAE,Software Engineer,High,No,2022-12-05 20:48:00,Verified,Retail
CUST0225,Customer_0225,1960-12-06,Japan,Japan,Software Engineer,Low,Yes,2022-01-24 13:41:00,Pending,Retail
CUST0226,Customer_0226,1962-04-07,Cayman Islands,Cayman Islands,Banker,High,No,2021-12-05 08:02:00,Expired,Corporate
CUST0227,Customer_0227,1980-01-07,USA,USA,Banker,Low,No,2020-01-27 22:52:00,Verified,Retail
CUST0228,Customer_0228,1984-11-18,France,France,Student,Low,No,2021-06-01 23:08:00,Pending,Corporate
